city_fips,city_name,st,cty_fips,rucc,cz,pop_2010
4240960,Lake City,Pennsylvania,42049,2,215,3031
4241216,Lancaster,Pennsylvania,42071,2,251,59322
4241392,Langhorne,Pennsylvania,42017,1,316,1622
4241432,Lansdale,Pennsylvania,42091,1,316,16269
4241440,Lansdowne,Pennsylvania,42045,1,316,10620
4241464,Lansford,Pennsylvania,42025,2,231,3941
4241608,Larksville,Pennsylvania,42079,2,309,4480
4241680,Latrobe,Pennsylvania,42129,1,203,8338
4241768,Laureldale,Pennsylvania,42011,2,231,3911
4242168,Lebanon,Pennsylvania,42075,3,251,25477
4242280,Leechburg,Pennsylvania,42129,1,203,2156
4242392,Leetsdale,Pennsylvania,42003,1,203,1218
4242472,Lehighton,Pennsylvania,42025,2,231,5500
4242648,Lemoyne,Pennsylvania,42041,2,251,4553
4242976,Lewisburg,Pennsylvania,42119,4,113,5792
4243000,Lewistown,Pennsylvania,42087,4,565,8338
4243232,Ligonier,Pennsylvania,42129,1,203,1573
4243248,Lilly,Pennsylvania,42021,3,420,968
4243408,Lincoln,Pennsylvania,42003,1,203,1072
4243656,Linesville,Pennsylvania,42039,4,215,1040
4243816,Lititz,Pennsylvania,42071,2,251,9369
4243944,Littlestown,Pennsylvania,42001,3,251,4434
4244128,Lock Haven,Pennsylvania,42035,4,358,9772
4244664,Lorain,Pennsylvania,42021,3,420,759
4245568,Luzerne,Pennsylvania,42079,2,309,2845
4245592,Lykens,Pennsylvania,42043,2,251,1779
4246592,Mahanoy City,Pennsylvania,42107,4,231,4162
4246792,Malvern,Pennsylvania,42029,1,316,2998
4246864,Manchester,Pennsylvania,42133,2,251,2763
4246888,Manheim,Pennsylvania,42071,2,251,4858
4247000,Manor,Pennsylvania,42129,1,203,3239
4247080,Mansfield,Pennsylvania,42117,6,431,3625
4247344,Marcus Hook,Pennsylvania,42045,1,316,2397
4247424,Marietta,Pennsylvania,42071,2,251,2588
4247672,Mars,Pennsylvania,42019,1,203,1699
4247872,Martinsburg,Pennsylvania,42013,3,420,1958
4247968,Marysville,Pennsylvania,42043,2,251,2534
4248000,Masontown,Pennsylvania,42051,1,203,3450
4248176,Mayfield,Pennsylvania,42069,2,309,1807
4245824,McAdoo,Pennsylvania,42107,4,231,2300
4246000,McConnellsburg,Pennsylvania,42057,8,418,1220
4246072,McDonald,Pennsylvania,42125,1,203,2149
4246264,McKees Rocks,Pennsylvania,42003,1,203,6104
4246256,McKeesport,Pennsylvania,42003,1,203,19731
4246376,McSherrystown,Pennsylvania,42001,3,251,3038
4248360,Meadville,Pennsylvania,42039,4,215,13388
